Data,Categoria,Produto,Quantidade,Preco_Unitario,Receita
2025-04-16,Eletrônicos,Smart TV,2,69.1,138.2
2025-04-16,Alimentos,Café,3,359.59,1078.77
2025-04-17,Vestuário,Tênis,3,75.93,227.79
2025-04-17,Alimentos,Café,3,695.24,2085.72
2025-04-17,Esportes,Halteres,3,549.1,1647.3
2025-04-17,Esportes,Bicicleta,5,433.81,2169.05
2025-04-17,Esportes,Bicicleta,4,344.22,1376.88
2025-04-17,Vestuário,Camiseta,2,43.83,87.66
2025-04-17,Casa e Decoração,Luminária,2,456.16,912.32
2025-04-17,Eletrônicos,Fone de Ouvido,1,694.18,694.18
2025-04-18,Casa e Decoração,Almofada,2,677.71,1355.42
2025-04-18,Eletrônicos,Smart TV,5,140.66,703.3
2025-04-18,Casa e Decoração,Vaso,2,400.76,801.52
2025-04-18,Alimentos,Bebida,3,524.08,1572.24
2025-04-18,Casa e Decoração,Luminária,5,690.62,3453.1
2025-04-18,Vestuário,Camiseta,5,796.48,3982.4
2025-04-18,Vestuário,Camiseta,4,333.01,1332.04
2025-04-19,Casa e Decoração,Tapete,2,715.66,1431.32
2025-04-19,Vestuário,Camiseta,3,218.09,654.27
2025-04-19,Casa e Decoração,Tapete,3,647.59,1942.77
2025-04-20,Esportes,Bicicleta,4,661.66,2646.64
2025-04-21,Alimentos,Snack,4,99.13,396.52
2025-04-21,Casa e Decoração,Tapete,4,95.24,380.96
2025-04-21,Alimentos,Café,3,666.36,1999.08
2025-04-21,Eletrônicos,Fone de Ouvido,5,454.67,2273.35
2025-04-22,Esportes,Bola,5,579.21,2896.05
2025-04-22,Esportes,Bola,2,646.96,1293.92
2025-04-22,Eletrônicos,Fone de Ouvido,3,564.22,1692.66
2025-04-22,Alimentos,Snack,3,665.36,1996.08
2025-04-22,Eletrônicos,Smart TV,4,219.75,879.0
2025-04-23,Esportes,Bicicleta,5,414.48,2072.4
2025-04-23,Alimentos,Café,4,179.34,717.36
2025-04-23,Alimentos,Café,2,51.16,102.32
2025-04-23,Eletrônicos,Notebook,2,512.69,1025.38
2025-04-23,Esportes,Halteres,1,274.36,274.36
2025-04-24,Eletrônicos,Fone de Ouvido,3,677.35,2032.05
2025-04-24,Vestuário,Camiseta,2,697.09,1394.18
2025-04-24,Esportes,Tênis Esportivo,1,83.8,83.8
2025-04-25,Esportes,Halteres,4,206.27,825.08
2025-04-25,Alimentos,Snack,5,481.12,2405.6
